Country Name,Country Code,Continent,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,AUT,Europe,19459.18538,20602.88423,21278.10084,21717.38271,22626.69994,23681.21233,24552.02648,25422.02329,26674.8408,27606.48303,29379.7423,29711.58386,31178.69333,32146.01529,33774.78739,35013.71404,37661.92242,39439.6039,41316.22518,40916.91974,42002.15714,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56937.94428,60574.6271,58610.83436,63421.20359,70975.72063,73751.35271
Azerbaijan,AZE,Asia,5253.928344,5322.301562,4150.12686,3217.945875,2603.834386,2317.792799,2366.839809,2522.84373,2779.806987,3001.305343,3382.083087,3771.270579,4160.216167,4640.134373,5160.472625,6741.200965,9244.406455,11734.76419,12972.44271,13972.73091,14680.87414,14804.57445,15994.14665,17267.51189,17563.61225,15075.27263,14535.80202,14315.92964,15282.99952,16675.31794,15163.57033,20111.3757,22533.49406,23685.53864
Burundi,BDI,Africa,609.4275264,648.3906307,652.5720143,647.5362807,632.4814188,559.8851194,524.7257751,525.876618,546.7574981,536.0302557,532.491555,542.0903164,559.1493795,545.815527,566.1589076,567.7661336,595.2640856,609.6934915,625.4000522,620.9027826,630.4483917,646.1031275,656.8448261,706.9897821,745.4026654,821.2462547,795.7859958,785.2333947,777.4469722,804.1653441,812.055173,864.2807327,917.506035,950.8798139
Belgium,BEL,Europe,18675.31219,19587.85535,20258.54745,20459.18915,21504.01177,22431.45936,22736.75807,23727.89752,24368.75741,25440.84119,27788.09088,28796.57958,30282.28865,30934.58265,32063.98269,33177.89095,35258.98506,36799.53187,37883.33194,37748.39943,39833.18405,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52530.56208,56621.54176,55730.95289,62123.16132,68274.20064,70455.95843
Benin,BEN,Africa,1220.326474,1275.253284,1302.359808,1349.613809,1354.711746,1436.862915,1487.724832,1554.278172,1585.074579,1642.381266,1724.759305,1802.524525,1858.889912,1902.642314,1979.528125,2011.628511,2090.489769,2211.154999,2295.443601,2294.625147,2303.017286,2350.356452,2435.948513,2609.135759,2774.858953,2832.004174,2952.513683,2996.13599,3075.235868,3260.768536,3354.179971,3575.311487,3957.961212,4248.310817
Burkina Faso,BFA,Africa,568.6822892,625.2358247,625.3801276,646.1061797,651.9380012,685.848492,755.7725333,796.6571548,841.0423581,889.6139712,899.6957174,951.4199342,977.7332907,1041.974901,1083.37805,1176.492884,1248.99583,1295.679409,1356.711292,1364.908942,1454.786885,1536.808944,1577.216925,1648.388278,1666.768864,1696.953579,1887.55372,2048.431462,2077.956121,2233.261555,2375.862852,2467.7406,2620.507654,2726.94231
Bangladesh,BGD,Asia,980.0378637,1028.383378,1088.839902,1145.075585,1191.941596,1255.597114,1313.185822,1371.076758,1431.160469,1490.379121,1574.525647,1659.895464,1718.08388,1803.270265,1916.679795,2074.250636,2253.43135,2451.943955,2626.062718,2751.24468,2906.467751,3119.929973,3501.555574,3751.061086,4023.541146,4253.687699,4608.574652,4894.442197,5484.763547,6025.087349,6596.044598,7366.489971,8354.715868,9065.698934
Bulgaria,BGR,Europe,7545.533056,7212.997981,6914.717253,7029.690143,7335.184353,7737.703342,6846.470569,5749.381185,6177.642355,5807.828784,6422.799332,6961.083345,7937.483144,8417.417529,9201.625332,10291.3391,11407.98606,12822.08141,14346.51408,14180.47842,14955.25983,15746.5389,16326.43153,16648.50693,17615.10889,18384.75357,20064.90795,21455.8755,23004.31955,25526.2811,25735.00085,29404.96051,35463.55499,38689.54807
Bahrain,BHR,Asia,25733.52444,28596.72766,30132.72328,33646.70849,33152.53394,34048.36318,34965.93581,35551.69096,36561.79467,37575.67788,39365.28427,40191.40316,41164.2896,42903.95659,44011.94266,44785.27703,45656.08035,47387.93078,48090.86371,46709.19089,47936.30175,49960.26787,53846.8814,53808.70589,52272.91246,46246.39565,45591.3982,49234.31344,50198.64094,53712.14852,51439.20376,54351.83608,60652.8505,63847.82973
"Bahamas, The",BHS,Americas,20544.60296,19954.65354,19216.85992,19308.96701,19938.66014,20853.91037,21742.17483,22023.60956,22935.10716,24542.09478,25757.81778,26651.25182,27433.32312,27254.85876,27856.24492,29302.6483,30539.72004,31375.70348,30795.50091,29267.17399,29658.41962,30078.952,30564.24856,29604.36594,30771.70472,31094.55308,31277.80744,32982.31393,33876.15695,34541.70749,25459.21852,28510.90949,33637.5048,35554.79948
Bosnia and Herzegovina,BIH,Europe,1031.954857,965.3891351,972.8038502,1056.347046,1256.576268,1492.465817,2249.216256,3018.223605,3501.079804,3853.159245,4127.613812,4291.239554,4743.391536,4911.677781,5405.64767,5958.970871,6879.25367,7696.913444,8595.600013,8698.055006,9087.25971,9757.455001,10108.88323,10787.72193,11147.56249,11825.20942,12869.30207,13580.88555,14800.21032,16354.00014,16275.23818,18396.46909,20998.52263,22845.51855
Belarus,BLR,Europe,5226.618884,5336.070636,4922.908278,4646.318621,4195.255627,3850.232959,4044.094461,4601.89592,5067.291847,5337.692163,5802.473341,6245.440459,6705.036472,7370.385876,8492.904038,9648.233108,11007.53804,12334.52388,13902.47446,14050.70844,15364.02984,16563.20141,18114.75086,19014.05297,19037.82095,18133.56963,17832.47789,18413.71274,20026.03067,22301.57669,24872.3399,27611.18011,28406.06615,30751.49542
Belize,BLZ,Americas,4461.145261,5048.168536,5703.441665,6073.237119,6069.179204,6084.150543,6076.430515,6227.020546,6315.550266,6772.799096,7525.905207,7829.074966,8121.815206,8807.042833,9193.120744,9406.700714,9841.032743,10144.2312,9897.563302,9645.507732,9640.297074,9588.608909,9145.726881,9378.916507,9340.362116,9451.563574,9336.419937,9086.911909,9479.911474,10436.33353,9540.67115,11559.8906,13280.59839,14195.31362
Bermuda,BMU,Americas,34873.94537,34958.7805,35993.87605,37752.66202,38521.85649,40766.94134,42321.52997,44757.77942,46681.81704,48670.70686,53928.42091,58490.63992,58142.25158,60912.50229,63585.74812,66247.10156,71663.76878,75639.64079,75212.14492,71022.99975,70637.92842,69998.84342,67919.69565,69949.53284,70210.32045,73879.48585,79035.73179,85285.24921,85861.19114,91263.4856,85795.3586,93555.51745,106866.3408,
Bolivia,BOL,Americas,2294.939338,2446.241136,2491.755015,2606.814274,2732.686075,2865.476906,2988.826749,3132.859805,3267.451184,3267.846285,3364.439068,3436.75606,3514.824223,3617.668449,3803.262842,4025.572981,4273.458243,4509.949492,4795.802363,4902.658338,5080.109537,5363.987903,5837.071101,6552.414616,7003.241839,7103.431756,7492.284709,8442.585295,8876.584719,9091.927689,8210.70291,9342.971844,10238.81209,10726.99881
Brazil,BRA,Americas,6618.551563,6794.434199,6797.776787,7184.553114,7644.901102,8008.757266,8208.918993,8505.407531,8504.283625,8542.793155,8995.851894,9203.897339,9511.453991,9694.265706,10409.07625,10956.12292,11615.64046,12524.56804,13284.39469,13222.87769,14256.55947,14989.15778,14962.36844,15469.53539,15564.801,14567.70606,14057.31325,14293.60464,15165.06315,15741.4785,15759.07823,17672.9168,19398.58981,20584.41917
Barbados,BRB,Americas,9655.991469,9573.480729,9205.510087,9469.951125,9839.608169,10225.1481,10806.20434,11494.75766,12038.22123,12224.94743,13033.82007,12976.74548,13228.43454,13729.27642,14243.91452,15216.51904,16579.65757,17317.64894,17685.52612,16830.43972,16601.40684,16765.7393,15772.24678,15807.82201,15636.43182,16006.94811,16438.83586,16279.24653,16960.24774,17459.15126,14687.10704,14752.3737,17892.18926,19357.16944
