"yr_built","yr_remodel","overall_cond","bed_rms","full_bth","num_stops_0.25","num_stops_0.50","total_value","lu","bldg_value","land_value","res_units","living_area","condo"
2006,NA,"G - Good",5,3,0,0,959600,"R1",756200,203400,NA,2524.5,0
1905,NA,"A - Average",6,2,0,1,684300,"R2",463400,220900,NA,3600.4,0
1910,NA,"A - Average",4,2,0,0,725800,"R2",459500,266300,NA,3026.9,0
1905,2006,"A - Average",5,2,1,2,723300,"R2",508200,215100,NA,2180.7,0
2004,NA,"G - Good",3,1,0,0,396600,"R1",289518,107082,NA,1620,0
2004,NA,"G - Good",3,1,0,0,355000,"R1",259150,95850,NA,1587.6,0
1932,2013,"A - Average",4,1,0,2,707000,"R1",456800,250200,NA,1645.8,0
1925,NA,"A - Average",5,2,0,1,799000,"R2",606900,192100,NA,2179,0
1890,2004,"G - Good",5,3,0,10,5195400,"R1",2371100,2824300,NA,3710.7,0
1905,NA,"A - Average",6,3,0,0,1540700,"R3",1122600,418100,NA,3312,0
1949,1999,"A - Average",3,2,0,0,715900,"R1",497100,218800,NA,1456,0
1910,NA,"G - Good",4,1,0,0,772800,"R1",600700,172100,NA,1305,0
1905,2016,"G - Good",11,5,0,0,1210900,"R3",939000,271900,NA,3900,0
1925,NA,"A - Average",6,2,0,0,509400,"R1",296000,213400,NA,2428.8,0
1942,NA,"G - Good",3,1,0,2,700500,"R1",497700,202800,NA,1630,0
1840,NA,"A - Average",3,1,1,3,413500,"R1",290100,123400,NA,1016,0
1910,2001,"A - Average",8,3,0,3,934700,"R3",674100,260600,NA,2530,0
1905,NA,"A - Average",6,3,0,0,325700,"R3",220800,104900,NA,3201,0
1900,NA,"A - Average",11,4,0,1,1038300,"R3",803600,234700,NA,3948.1,0
1890,2017,"E - Excellent",4,4,1,3,4882300,"R1",3018300,1864000,NA,4087.9,0
1925,2004,"A - Average",5,2,0,0,1104400,"R2",785000,319400,NA,2920.8,0
1890,1979,"G - Good",3,2,0,5,4382900,"R1",1713700,2669200,NA,2434,0
1905,NA,"A - Average",6,3,1,1,811700,"R3",607300,204400,NA,3753,0
1890,2018,"E - Excellent",4,3,0,5,4558100,"R1",2932300,1625800,NA,3248,0
1925,2013,"G - Good",7,5,0,0,1202800,"R2",874800,328000,NA,3248.4,0
1852,2010,"G - Good",3,2,0,2,812100,"R1",590800,221300,NA,2346,0
1957,1996,"A - Average",3,2,0,0,512100,"R1",340000,172100,NA,1507,0
1962,NA,"A - Average",2,1,0,0,652100,"R1",399300,252800,NA,1808.4,0
1880,NA,"A - Average",3,2,0,2,711700,"R2",483200,228500,NA,2858,0
1929,1997,"A - Average",4,2,0,0,1009700,"R2",687900,321800,NA,2467.2,0
1900,NA,"A - Average",8,3,0,2,953000,"R3",732400,220600,NA,3411,0
1963,NA,"A - Average",8,3,1,2,990900,"R3",721200,269700,NA,3343,0
1890,2021,"G - Good",6,4,0,0,1378900,"R2",963700,415200,NA,3350.55,0
1900,2008,"A - Average",7,2,0,0,1206400,"R2",948200,258200,NA,4345,0
1900,NA,"A - Average",5,2,0,0,609300,"R2",366500,242800,NA,2874.4,0
1900,2007,"G - Good",3,2,0,2,807900,"R1",647500,160400,NA,2329.2,0
1920,2004,"G - Good",9,3,0,1,1521300,"R3",1254100,267200,NA,4017,0
1914,NA,"G - Good",3,1,0,0,629900,"R1",444900,185000,NA,1071,0
1960,NA,"A - Average",3,1,0,0,590000,"R1",382300,207700,NA,1176,0
1920,NA,"A - Average",4,4,1,3,862600,"R2",593300,269300,NA,2953,0
1940,NA,"G - Good",3,1,0,0,710500,"R1",508200,202300,NA,1470.4,0
1905,2005,"A - Average",6,2,0,0,830700,"R2",569200,261500,NA,3513.5,0
1905,2019,"A - Average",8,2,0,0,943100,"R2",620300,322800,NA,3716,0
1905,NA,"A - Average",9,3,0,0,861000,"R3",658900,202100,NA,3531,0
2000,NA,"G - Good",3,1,0,0,212100,"R1",154833,57267,NA,1562,0
1945,NA,"A - Average",5,2,1,3,588300,"R2",414100,174200,NA,2108,0
1937,NA,"A - Average",3,1,0,0,502600,"R1",320700,181900,NA,1108.8,0
1920,NA,"A - Average",3,1,0,0,526300,"R1",367600,158700,NA,1468.8,0
1925,2018,"A - Average",3,2,0,0,606600,"R1",427600,179000,NA,1523.2,0
1956,2013,"A - Average",3,1,0,0,585400,"R1",389000,196400,NA,1612.8,0
1865,1993,"A - Average",6,3,0,0,1542100,"R2",782500,759600,NA,3203,0
1930,2021,"A - Average",4,2,0,1,720000,"R1",477700,242300,NA,1488,0
1880,2017,"G - Good",6,3,0,0,666100,"R2",507500,158600,NA,2424.8,0
1905,2021,"G - Good",9,3,0,0,990000,"R3",791400,198600,NA,4818,0
1910,NA,"A - Average",5,3,0,0,649600,"R2",423300,226300,NA,2935.2,0
1905,NA,"A - Average",8,3,0,0,888200,"R2",570900,317300,NA,4802.2,0
1900,1993,"A - Average",7,2,0,2,1269300,"R3",1011100,258200,NA,5320.4,0
1925,NA,"A - Average",3,1,0,2,529700,"R1",353300,176400,NA,1722.2,0
2022,NA,"G - Good",4,3,0,2,554800,"R1",396700,158100,NA,3057,0
1900,1997,"A - Average",9,3,0,1,1389200,"R3",1124600,264600,NA,4788.6,0
1926,NA,"G - Good",4,1,0,0,835600,"R1",617100,218500,NA,1768,0
1920,2019,"G - Good",5,2,0,1,1397200,"R2",1082500,314700,NA,3834,0
1890,2021,"A - Average",7,3,0,2,929700,"R3",778000,151700,NA,2568,0
1827,2006,"G - Good",4,3,0,8,4849600,"R1",2767500,2082100,NA,4138.2,0
1850,1998,"G - Good",6,4,0,10,5980600,"R1",3384500,2596100,NA,4824.3,0
1920,2007,"G - Good",3,3,0,0,875400,"R1",610200,265200,NA,1570,0
1955,NA,"A - Average",3,1,0,0,608300,"R1",368600,239700,NA,1248,0
1920,2003,"G - Good",6,3,0,1,912200,"R2",628200,284000,NA,2480,0
1905,NA,"A - Average",6,3,0,1,811200,"R3",561200,250000,NA,3312,0
1900,2003,"G - Good",3,1,0,0,730200,"R1",543900,186300,NA,1568,0
1950,NA,"A - Average",2,1,2,2,582700,"R1",368600,214100,NA,1152,0
1920,NA,"F - Fair",6,3,0,0,1282900,"R3",857700,425200,NA,3312,0
2009,NA,"G - Good",4,2,1,1,792000,"R1",526000,266000,NA,1920.2,0
1920,1989,"A - Average",3,1,0,0,578700,"R1",351100,227600,NA,1180,0
1910,NA,"A - Average",8,3,0,1,1202900,"R3",810200,392700,NA,3522,0
1905,NA,"A - Average",6,3,1,2,1007700,"R3",777400,230300,NA,3414,0
1900,NA,"A - Average",10,4,1,1,998200,"R3",656800,341400,NA,3142.2,0
1900,NA,"A - Average",3,1,0,1,515900,"R1",402400,113500,NA,1248.8,0
1900,NA,"A - Average",4,1,0,1,753100,"R1",559700,193400,NA,1696,0
1905,2000,"A - Average",11,3,0,1,1237600,"R3",958000,279600,NA,3906,0
1962,NA,"A - Average",3,2,0,2,652000,"R1",422000,230000,NA,1731.65,0
1905,2018,"A - Average",7,3,0,0,1009600,"R3",667300,342300,NA,3722,0
1920,NA,"A - Average",4,2,0,0,535300,"R2",348100,187200,NA,1846,0
1898,NA,"A - Average",3,1,0,0,865500,"R1",486800,378700,NA,1496,0
1900,NA,"A - Average",5,2,0,0,769600,"R2",478900,290700,NA,2588,0
1900,NA,"A - Average",6,3,0,0,927200,"R3",685900,241300,NA,3552,0
1960,NA,"A - Average",2,1,0,0,424700,"R1",260800,163900,NA,864,0
1920,NA,"A - Average",3,1,0,0,636000,"R1",335100,300900,NA,1440,0
1890,2018,"A - Average",4,3,0,1,724600,"R2",503100,221500,NA,1939.8,0
1880,NA,"G - Good",2,1,0,1,745600,"R1",559500,186100,NA,1698.6,0
1900,1982,"A - Average",5,3,0,1,827200,"R2",586600,240600,NA,2199.4,0
1900,NA,"A - Average",3,2,0,1,566500,"R2",322800,243700,NA,1500,0
1910,2000,"A - Average",9,3,1,3,994800,"R3",761300,233500,NA,2664,0
1910,NA,"A - Average",6,3,0,3,719300,"R3",556000,163300,NA,1854,0
1905,NA,"A - Average",6,3,0,0,778100,"R3",554900,223200,NA,3024,0
1910,NA,"A - Average",3,1,0,0,585900,"R1",373700,212200,NA,1572,0
1963,2019,"A - Average",3,1,0,0,516700,"R1",374700,142000,NA,1275,0
1910,NA,"A - Average",4,2,0,0,440200,"R1",297400,142800,NA,1768,0
1962,NA,"A - Average",3,1,2,2,627300,"R1",389800,237500,NA,1593,0
1905,NA,"A - Average",6,3,0,0,837600,"R3",521300,316300,NA,5419,0
1890,NA,"A - Average",4,1,0,0,1014400,"R1",707200,307200,NA,1728,0
1910,2021,"G - Good",5,6,0,0,1497600,"R2",1134800,362800,NA,2338,0
1932,2016,"A - Average",4,1,0,0,669000,"R1",489800,179200,NA,1310.4,0
1945,2010,"G - Good",3,2,2,2,768000,"R1",557800,210200,NA,1152,0
1910,2010,"A - Average",6,3,2,3,966400,"R3",701400,265000,NA,2600,0
1959,2021,"A - Average",3,1,0,0,686300,"R1",451500,234800,NA,1274,0
1915,2019,"G - Good",3,2,0,0,899100,"R1",667000,232100,NA,1580,0
1952,NA,"A - Average",4,2,1,3,576000,"R2",357600,218400,NA,1989,0
1940,NA,"A - Average",4,1,0,0,765700,"R1",518400,247300,NA,1818,0
1900,2012,"A - Average",2,2,0,2,524800,"R1",383600,141200,NA,1213.8,0
1920,NA,"A - Average",6,3,1,4,1435300,"R2",1034700,400600,NA,3920.8,0
1920,2007,"A - Average",2,2,0,0,939700,"R1",603700,336000,NA,1461.6,0
1885,2010,"A - Average",5,1,1,2,600200,"R1",378600,221600,NA,2067,0
1935,NA,"G - Good",3,2,0,1,885300,"R1",666500,218800,NA,2074.4,0
1910,NA,"A - Average",8,4,2,2,951200,"R3",688200,263000,NA,2915,0
1910,2008,"G - Good",4,1,0,0,988200,"R1",638800,349400,NA,1667.2,0
1969,2011,"A - Average",4,2,0,0,671900,"R1",424100,247800,NA,1668,0
1920,NA,"A - Average",6,5,2,6,1524200,"R3",1012700,511500,NA,3000,0
1910,NA,"A - Average",6,3,0,1,905300,"R3",680400,224900,NA,3573,0
1900,2002,"A - Average",6,2,0,1,675700,"R2",495300,180400,NA,3107.6,0
1940,1997,"A - Average",3,1,0,0,372000,"R1",188900,183100,NA,1015.8,0
1905,NA,"A - Average",6,3,0,0,771500,"R3",547500,224000,NA,3333,0
1900,1979,"A - Average",8,3,0,0,810400,"R3",464400,346000,NA,3938.3,0
1910,NA,"A - Average",6,3,0,2,791400,"R3",552400,239000,NA,2007,0
2022,NA,"G - Good",6,4,0,0,778600,"R2",571200,207400,NA,3496,0
1905,NA,"A - Average",9,3,0,0,690500,"R3",513100,177400,NA,3933,0
1880,NA,"A - Average",6,2,1,2,781800,"R2",490200,291600,NA,2142,0
1910,NA,"A - Average",6,3,0,1,733600,"R3",509900,223700,NA,2148,0
1910,1989,"A - Average",4,2,0,1,596400,"R2",412100,184300,NA,2379,0
1900,2004,"G - Good",5,2,1,3,372800,"R1",272144,100656,NA,1652.8,0
1910,1989,"A - Average",7,2,1,3,739000,"R2",426000,313000,NA,3756.8,0
1880,NA,"A - Average",6,3,0,1,615600,"R3",422700,192900,NA,2225,0
1950,NA,"A - Average",2,1,0,0,473500,"R1",267700,205800,NA,1075.2,0
1950,2005,"A - Average",3,1,0,0,457200,"R1",283600,173600,NA,1344,0
1960,NA,"A - Average",6,2,0,0,563800,"R2",414500,149300,NA,3004.05,0
2017,NA,"G - Good",3,2,0,0,870000,"R1",685700,184300,NA,2348,0
1950,NA,"A - Average",3,1,0,0,406600,"R1",221500,185100,NA,925,0
1905,NA,"A - Average",4,2,0,0,1032200,"R2",727500,304700,NA,1722,0
1928,NA,"G - Good",6,2,0,0,1571000,"R2",1132700,438300,NA,2602,0
1945,2008,"A - Average",2,2,0,0,761400,"R1",471400,290000,NA,1487.6,0
1945,NA,"A - Average",3,1,0,0,589200,"R1",358300,230900,NA,1120,0
1900,NA,"A - Average",5,2,1,2,748700,"R1",487500,261200,NA,1831,0
1915,NA,"A - Average",4,2,0,2,790100,"R2",544000,246100,NA,2250,0
1969,NA,"A - Average",2,1,0,0,460800,"R1",310600,150200,NA,891,0
1881,2012,"G - Good",4,2,0,0,1492400,"R2",1087600,404800,NA,2906,0
1950,2002,"A - Average",3,1,0,0,600700,"R1",370100,230600,NA,1240,0
1925,2015,"A - Average",3,1,0,0,759500,"R1",531100,228400,NA,1492,0
1914,NA,"G - Good",4,5,0,10,6368000,"R1",3783900,2584100,NA,6205.8,0
2015,NA,"G - Good",4,2,0,0,1222100,"R1",1010300,211800,NA,2708,0
1940,1969,"A - Average",3,2,0,0,956600,"R1",573600,383000,NA,1643,0
1929,2018,"G - Good",4,2,0,0,1510500,"R1",1141700,368800,NA,3138,0
1965,NA,"A - Average",5,4,1,1,1220000,"R2",814800,405200,NA,2760,0
1900,NA,"A - Average",3,1,0,0,413800,"R1",229200,184600,NA,1658,0
1905,2022,"A - Average",4,2,0,0,733700,"R1",391000,342700,NA,3216,0
1860,NA,"A - Average",7,4,0,0,1343300,"R3",850500,492800,NA,4993,0
1987,2022,"A - Average",4,2,0,2,666600,"R1",450100,216500,NA,1260,0
1950,NA,"A - Average",3,2,0,0,451700,"R1",283700,168000,NA,1008,0
1928,2008,"A - Average",3,1,0,0,740200,"R1",5e+05,240200,NA,1404,0
1890,2009,"G - Good",6,2,0,0,795600,"R2",481000,314600,NA,2477.6,0
1920,2018,"G - Good",6,3,0,0,2277400,"R2",1807800,469600,NA,4972.8,0
1910,NA,"A - Average",5,2,1,2,820900,"R1",579900,241000,NA,3433.2,0
1900,2012,"A - Average",6,4,0,0,2752100,"R1",1917300,834800,NA,6393.2,0
1880,NA,"A - Average",5,2,0,0,393800,"R1",207700,186100,NA,2212.8,0
1962,2018,"G - Good",4,3,0,0,967600,"R1",695300,272300,NA,2088,0
1890,2021,"G - Good",3,1,0,0,575700,"R1",414900,160800,NA,1224,0
1894,NA,"A - Average",4,1,1,2,748800,"R1",479600,269200,NA,2268,0
1920,NA,"A - Average",6,2,0,4,1219500,"R2",861300,358200,NA,3264,0
1957,NA,"A - Average",3,1,0,0,461600,"R1",302500,159100,NA,864,0
2003,NA,"G - Good",5,3,0,0,1112500,"R1",862500,250000,NA,2553.6,0
1905,NA,"A - Average",9,3,0,0,917800,"R3",597700,320100,NA,3582,0
1935,NA,"A - Average",3,2,0,0,699000,"R1",466000,233000,NA,1560,0
1920,NA,"A - Average",4,1,0,0,747300,"R1",483700,263600,NA,2229,0
1900,2001,"A - Average",6,2,0,3,819800,"R2",563900,255900,NA,2218,0
1935,2008,"G - Good",5,3,0,0,1882500,"R1",1281300,601200,NA,2869.2,0
1935,2022,"G - Good",5,3,0,0,1496200,"R1",1045600,450600,NA,3020,0
1920,NA,"A - Average",7,3,1,4,1255000,"R3",843400,411600,NA,3689.6,0
1920,2010,"G - Good",4,2,0,0,900800,"R2",768000,132800,NA,3097.4,0
1970,2021,"A - Average",3,2,0,0,606500,"R1",398800,207700,NA,1414.4,0
1890,NA,"A - Average",3,2,0,0,423500,"R1",256100,167400,NA,1290,0
1957,2020,"G - Good",3,2,0,0,688500,"R1",513300,175200,NA,1172,0
1910,NA,"A - Average",3,1,0,0,581300,"R1",382300,199000,NA,1659.2,0
1910,1997,"A - Average",5,2,0,0,439100,"R1",258600,180500,NA,1716.6,0
1895,NA,"A - Average",6,4,0,0,845000,"R3",512200,332800,NA,5253.4,0
1905,NA,"A - Average",5,2,0,0,694000,"R2",417600,276400,NA,2464,0
1890,2010,"G - Good",5,1,0,0,1150700,"R1",923700,227000,NA,2827.8,0
1880,2020,"A - Average",4,1,0,1,576600,"R1",412700,163900,NA,1560,0
1905,2021,"A - Average",7,3,0,0,847400,"R3",609800,237600,NA,3642,0
1910,NA,"G - Good",6,2,0,0,1572900,"R2",1141100,431800,NA,3278.4,0
1900,2018,"G - Good",12,5,1,1,1913100,"R3",1413700,499400,NA,3964.8,0
1911,NA,"A - Average",3,1,0,0,1256200,"R1",778100,478100,NA,2403,0
1910,2014,"A - Average",4,4,0,0,1446100,"R3",1137800,308300,NA,2809.05,0
1905,NA,"A - Average",9,3,0,1,1078200,"R3",820400,257800,NA,3939,0
1905,NA,"A - Average",9,3,0,0,1064800,"R3",859400,205400,NA,4140,0
1890,2010,"G - Good",4,3,0,6,1550800,"R3",1097400,453400,NA,2163,0
1920,NA,"A - Average",3,1,0,0,571900,"R1",315200,256700,NA,1397.2,0
1925,NA,"A - Average",2,1,0,0,537400,"R1",318900,218500,NA,1489.6,0
1899,1997,"G - Good",4,3,1,3,2558800,"R1",1696800,862000,NA,2751.95,0
1926,1976,"A - Average",5,2,0,0,1065200,"R2",734500,330700,NA,2576,0
2003,NA,"G - Good",3,3,0,1,820000,"R1",560200,259800,NA,1512,0
1899,2005,"A - Average",3,3,0,0,1055500,"R3",762000,293500,NA,1620,0
1920,1995,"A - Average",3,2,0,0,453100,"R1",294000,159100,NA,1918.4,0
1984,1990,"A - Average",3,3,0,0,622200,"R1",377800,244400,NA,1577,0
1920,2012,"A - Average",3,2,0,1,642600,"R2",443900,198700,NA,1672,0
1900,NA,"A - Average",8,3,0,2,1299700,"R3",875700,424000,NA,3692.1,0
1885,NA,"A - Average",5,3,0,2,1037100,"R3",666700,370400,NA,3106.8,0
1955,NA,"A - Average",3,1,0,0,605800,"R1",377800,228000,NA,1248,0
1956,NA,"A - Average",2,1,0,2,528400,"R1",313300,215100,NA,1247.4,0
1950,NA,"A - Average",3,1,0,0,573500,"R1",364100,209400,NA,1075.2,0
1948,2015,"A - Average",3,1,0,0,779300,"R1",501000,278300,NA,1617,0
1928,NA,"A - Average",3,3,0,0,709800,"R1",446700,263100,NA,1929.4,0
1949,2014,"G - Good",4,1,0,0,842000,"R1",590700,251300,NA,1487,0
1960,NA,"A - Average",3,1,0,0,528300,"R1",331500,196800,NA,1275,0
1940,NA,"A - Average",4,2,0,0,622400,"R1",414800,207600,NA,1260,0
1953,NA,"A - Average",2,1,0,0,427700,"R1",272000,155700,NA,1008,0
1880,NA,"A - Average",3,1,0,1,538400,"R1",295400,243000,NA,1120,0
1925,1990,"A - Average",6,3,0,2,908400,"R3",637100,271300,NA,3122,0
1984,NA,"G - Good",3,1,0,0,880600,"R1",576200,304400,NA,1579.05,0
1910,2014,"A - Average",2,1,0,2,564400,"R1",378600,185800,NA,1010.6,0
1900,1997,"G - Good",9,3,0,1,1106000,"R3",886900,219100,NA,4617,0
1925,2019,"G - Good",4,5,0,0,1492300,"R3",1138700,353600,NA,3470,0
1920,1987,"A - Average",3,2,0,0,592400,"R1",334300,258100,NA,1027,0
1926,NA,"A - Average",3,1,0,2,618400,"R1",375900,242500,NA,1412,0
1915,2015,"A - Average",8,2,0,0,902200,"R2",641500,260700,NA,3854.9,0
1936,2015,"A - Average",3,1,0,0,694500,"R1",423000,271500,NA,1591,0
1961,2014,"A - Average",3,2,0,0,498900,"R1",304100,194800,NA,1224,0
1905,2013,"A - Average",7,3,0,0,827000,"R2",586400,240600,NA,3788.8,0
1885,2022,"A - Average",4,3,1,2,773400,"R2",548800,224600,NA,2267.4,0
1910,2004,"A - Average",5,2,0,0,725200,"R2",477200,248000,NA,1923.6,0
1900,NA,"G - Good",2,1,0,0,490300,"R1",309900,180400,NA,1323,0
1900,2022,"G - Good",3,4,0,0,985800,"R2",818400,167400,NA,3392.6,0
1910,NA,"A - Average",5,2,0,0,1858100,"R2",1265900,592200,NA,3409.8,0
1900,NA,"A - Average",9,3,0,1,1173800,"R3",916500,257300,NA,4302,0
1905,2015,"A - Average",9,3,0,0,1000400,"R3",728400,272000,NA,4593,0
1935,NA,"A - Average",7,2,0,4,1100300,"R2",758800,341500,NA,3036,0
1900,2003,"G - Good",3,2,0,0,952500,"R1",701800,250700,NA,2660,0
1928,NA,"A - Average",6,3,0,0,955900,"R3",678900,277000,NA,4008,0
1945,NA,"A - Average",4,2,1,3,637600,"R2",423000,214600,NA,1785,0
1915,1997,"G - Good",3,2,0,0,825900,"R1",656000,169900,NA,1844.4,0
1945,1980,"A - Average",6,2,1,3,639700,"R2",422100,217600,NA,2268,0
1960,NA,"G - Good",3,1,0,2,732900,"R1",545200,187700,NA,1484,0
1920,2022,"G - Good",5,3,0,0,960600,"R1",720800,239800,NA,1960,0
1933,1992,"G - Good",4,1,0,0,926000,"R1",689300,236700,NA,1760,0
1912,2017,"E - Excellent",5,5,0,5,7018800,"R1",4653400,2365400,NA,4640,0
1900,2012,"A - Average",4,1,0,1,823000,"R1",617500,205500,NA,2120,0
1910,NA,"A - Average",5,2,1,1,766200,"R2",484600,281600,NA,2094,0
1920,2001,"G - Good",5,3,1,4,1559100,"R2",1155200,403900,NA,4185,0
1955,NA,"A - Average",5,2,0,2,769400,"R2",529000,240400,NA,2631.85,0
1905,NA,"A - Average",8,3,1,1,863100,"R3",675400,187700,NA,2878,0
1905,NA,"A - Average",12,3,0,1,1107000,"R3",843100,263900,NA,4314,0
1933,2004,"A - Average",5,1,0,1,720000,"R1",521900,198100,NA,1843.2,0
1935,NA,"A - Average",3,1,0,0,805900,"R1",546300,259600,NA,2048,0
1960,NA,"A - Average",3,1,0,0,565900,"R1",300300,265600,NA,1521,0
1956,NA,"A - Average",3,1,0,0,522300,"R1",318900,203400,NA,1305.6,0
1920,NA,"A - Average",4,2,0,0,689000,"R2",440300,248700,NA,2668.8,0
1915,1990,"A - Average",3,1,0,1,478400,"R1",306900,171500,NA,1362,0
1905,NA,"A - Average",9,3,0,0,910800,"R3",674900,235900,NA,5100,0
1905,2017,"A - Average",9,3,0,0,919500,"R3",671200,248300,NA,3396,0
1910,NA,"A - Average",5,2,0,0,624700,"R2",416700,208000,NA,2820,0
1905,1993,"A - Average",7,3,0,0,635000,"R3",459600,175400,NA,3776,0
1940,2006,"A - Average",3,1,0,0,591600,"R1",389100,202500,NA,1509.6,0
1910,1988,"A - Average",5,2,1,5,1665700,"R2",945200,720500,NA,2873,0
1933,NA,"A - Average",2,1,0,0,578900,"R1",427800,151100,NA,1238.4,0
1926,1989,"A - Average",3,1,0,0,546800,"R1",368600,178200,NA,1536,0
1920,1995,"G - Good",4,2,0,0,1530500,"R1",1092700,437800,NA,2564,0
1999,1999,"A - Average",4,2,0,0,1841600,"R2",863800,977800,NA,3404,0
1920,NA,"A - Average",4,2,0,0,708900,"R2",477300,231600,NA,2064.9,0
1960,NA,"A - Average",4,1,0,0,557200,"R1",314800,242400,NA,1305.6,0
1916,NA,"A - Average",6,3,0,0,1206700,"R3",928900,277800,NA,4266,0
1900,NA,"A - Average",5,2,0,0,571500,"R2",409200,162300,NA,2104,0
1900,NA,"A - Average",4,3,0,0,766200,"R3",576500,189700,NA,3618,0
1910,NA,"A - Average",8,3,0,0,789500,"R3",557000,232500,NA,3057,0
1900,NA,"A - Average",5,1,0,0,4e+05,"R1",235100,164900,NA,1398,0
1960,NA,"A - Average",3,2,0,0,619300,"R1",447400,171900,NA,1353.6,0
1950,NA,"A - Average",3,1,0,2,564700,"R1",380600,184100,NA,1372,0
1910,NA,"A - Average",5,2,0,3,593300,"R1",390700,202600,NA,1884.4,0
1905,2013,"G - Good",15,8,0,2,2653400,"R3",2047000,606400,NA,4128,0
1910,NA,"A - Average",4,2,0,1,974300,"R2",632100,342200,NA,3106,0
1962,NA,"A - Average",3,1,1,3,435900,"R1",267800,168100,NA,1292,0
1945,NA,"A - Average",4,2,1,2,659900,"R2",462000,197900,NA,1440,0
1935,NA,"A - Average",2,1,0,0,439000,"R1",292400,146600,NA,816,0
1905,NA,"A - Average",6,3,0,0,1506400,"R3",1211400,295000,NA,3462,0
1880,NA,"A - Average",3,2,0,0,1287800,"R2",831200,456600,NA,2444,0
1966,2010,"G - Good",5,4,0,0,1448200,"R1",1052700,395500,NA,2860,0
1986,NA,"A - Average",3,1,0,0,472600,"R1",248200,224400,NA,864,0
1895,1987,"A - Average",3,3,0,1,841700,"R3",589600,252100,NA,2820,0
1900,NA,"A - Average",1,2,0,1,775200,"R2",442400,332800,NA,1540,0
1910,2018,"G - Good",3,2,0,0,670000,"R1",481200,188800,NA,1456,0
2021,NA,"G - Good",4,3,0,2,866400,"R1",603100,263300,NA,3009.6,0
1920,2000,"A - Average",4,2,1,2,1094700,"R1",730900,363800,NA,1906,0
1905,NA,"A - Average",11,3,0,1,1203900,"R3",956200,247700,NA,4692,0
1900,NA,"A - Average",5,3,1,1,826900,"R3",632100,194800,NA,2328,0
1920,NA,"A - Average",5,2,0,1,1192500,"R2",874700,317800,NA,2832,0
1905,NA,"A - Average",4,1,0,1,372900,"R1",243900,129000,NA,1482,0
1938,2012,"A - Average",6,2,0,4,978000,"R1",654100,323900,NA,1730.4,0
1963,NA,"A - Average",3,1,0,0,516800,"R1",327500,189300,NA,1274,0
1940,2014,"A - Average",3,3,0,0,727000,"R1",469000,258000,NA,1822,0
1920,NA,"A - Average",5,3,0,1,1250000,"R2",909300,340700,NA,2844,0
1898,2021,"G - Good",4,2,0,0,1436100,"R1",1048300,387800,NA,2343,0
1900,2014,"A - Average",7,3,0,2,981900,"R3",726000,255900,NA,4174.75,0
1940,NA,"A - Average",4,2,1,1,1089900,"R2",726200,363700,NA,2398,0
1964,NA,"A - Average",3,1,0,0,671600,"R1",370300,301300,NA,1258,0
1893,2018,"G - Good",5,2,0,0,1259100,"R2",866800,392300,NA,2184,0
1955,2005,"G - Good",3,2,0,0,1111200,"R1",726700,384500,NA,1530,0
1920,2005,"A - Average",7,3,1,4,1153800,"R1",801800,352000,NA,2880.8,0
1910,2003,"G - Good",3,4,0,7,3759100,"R1",1785500,1973600,NA,2704,0
1882,NA,"A - Average",8,2,1,2,964000,"R1",702600,261400,NA,3062,0
1915,2019,"A - Average",3,1,0,2,5e+05,"R1",332000,168000,NA,1592,0
1905,NA,"A - Average",6,3,0,2,965700,"R3",658900,306800,NA,3420,0
1890,2013,"G - Good",3,3,0,5,3742100,"R1",2190400,1551700,NA,2664,0
1900,2016,"E - Excellent",5,4,1,8,14807900,"R1",7942400,6865500,NA,6961.8,0
1920,NA,"A - Average",4,2,0,0,771800,"R2",494100,277700,NA,1920,0
1950,NA,"A - Average",2,2,0,0,582200,"R1",390700,191500,NA,1453,0
1920,2004,"A - Average",5,3,2,2,941300,"R2",655400,285900,NA,3172.8,0
1930,NA,"A - Average",2,2,0,0,435900,"R1",251200,184700,NA,1418.4,0
1961,2010,"A - Average",3,2,0,0,529700,"R1",328200,201500,NA,900,0
1900,2012,"G - Good",9,3,1,4,1016900,"R3",884400,132500,NA,2967,0
1956,NA,"A - Average",4,1,0,0,730700,"R1",427500,303200,NA,1634,0
1953,NA,"A - Average",3,1,0,0,675400,"R1",402100,273300,NA,1331,0
1900,2005,"G - Good",2,2,1,1,639600,"R2",470700,168900,NA,1652,0
1950,1965,"A - Average",2,1,0,2,475700,"R1",287000,188700,NA,1014,0
1999,NA,"G - Good",6,3,0,0,1344000,"R3",1033000,311000,NA,3240,0
1900,NA,"A - Average",5,4,0,1,1115900,"R3",757600,358300,NA,2692,0
1900,2000,"A - Average",5,1,0,1,1011000,"R1",725900,285100,NA,2364,0
1930,2008,"A - Average",3,1,0,0,576900,"R1",370400,206500,NA,1320,0
1920,2011,"G - Good",4,1,0,0,1392300,"R1",945900,446400,NA,2864.4,0
1905,NA,"A - Average",3,3,0,1,849300,"R3",660600,188700,NA,2205,0
1900,2008,"A - Average",3,1,0,0,870500,"R1",517900,352600,NA,1130,0
1910,2001,"A - Average",4,2,0,0,845700,"R2",418300,427400,NA,2400,0
2001,NA,"A - Average",3,2,0,0,435200,"R1",276900,158300,NA,1510,0
1928,2012,"G - Good",3,1,0,0,771900,"R1",564300,207600,NA,1528.8,0
