"yr_built","yr_remodel","overall_cond","bed_rms","full_bth","num_stops_0.25","num_stops_0.50","total_value","lu","bldg_value","land_value","res_units","living_area","condo"
1940,2003,"A - Average",7,3,0,2,764400,"R1",579700,184700,NA,2188,0
1920,NA,"A - Average",14,3,0,0,995700,"R3",740400,255300,NA,4329,0
1900,NA,"A - Average",4,3,0,3,772300,"R2",523600,248700,NA,3002.4,0
1900,2011,"A - Average",5,2,0,0,668200,"R2",437600,230600,NA,2240,0
1935,1990,"G - Good",3,2,0,0,932700,"R1",656300,276400,NA,1688,0
1905,2000,"A - Average",7,4,0,0,442000,"R2",322660,119340,NA,3537.6,0
1985,NA,"G - Good",3,1,0,2,768600,"R1",553100,215500,NA,1125,0
1945,NA,"A - Average",2,1,0,0,621100,"R1",349200,271900,NA,1353.6,0
1920,NA,"A - Average",5,2,0,0,724300,"R2",480600,243700,NA,2448,0
1920,1983,"A - Average",6,4,0,0,924500,"R3",624800,299700,NA,2883.2,0
1905,2021,"A - Average",11,4,0,1,1574700,"R3",1267300,307400,NA,4011,0
1880,2006,"G - Good",4,3,0,1,1143500,"R2",882000,261500,NA,2601.1,0
1905,NA,"A - Average",8,3,1,1,1278000,"R3",781500,496500,NA,2829.2,0
1970,2004,"G - Good",5,2,0,0,365300,"R1",266669,98631,NA,1876,0
1910,NA,"A - Average",4,2,0,0,588800,"R2",377300,211500,NA,2770.8,0
1911,NA,"A - Average",3,1,0,0,583300,"R1",373300,210000,NA,1374,0
1925,NA,"A - Average",6,2,0,2,599400,"R2",345800,253600,NA,2808,0
1890,2000,"A - Average",7,3,1,2,948500,"R3",622700,325800,NA,4218,0
1900,NA,"A - Average",5,2,0,0,603900,"R2",406600,197300,NA,2592,0
1900,2013,"G - Good",4,2,0,0,1057500,"R1",735700,321800,NA,1861.6,0
1920,NA,"A - Average",4,2,0,0,812100,"R2",535800,276300,NA,2426,0
1940,2015,"A - Average",4,2,0,0,785500,"R1",499400,286100,NA,1330,0
2000,NA,"G - Good",4,3,0,1,868000,"R1",608000,260000,NA,1860,0
